track_id,spotify_id,title,track_artist,release_year,loudness,mode_name,decade
spotify:track:06ku5BBS2HufqSDVkcSR15,06ku5BBS2HufqSDVkcSR15,Tunnel of Love (Intro: The Carousel Waltz),Dire Straits,1980,-10.708,major,1980
spotify:track:7t4rA2AxpG7yAhgRwopfn2,7t4rA2AxpG7yAhgRwopfn2,Groove Me,Guy,1988,-13.931,major,1980
spotify:track:7BVMXNnQSswMX8IJeZUb5T,7BVMXNnQSswMX8IJeZUb5T,Rock Wit'cha,Bobby Brown,1988,-12.417,minor,1980
spotify:track:7o7E1nrHWncYY7PY94gCiX,7o7E1nrHWncYY7PY94gCiX,Video Killed The Radio Star,The Buggles,1980,-11.548,major,1980
spotify:track:3zLZ7AVfbYuy0BnRWLafZg,3zLZ7AVfbYuy0BnRWLafZg,(Keep Feeling) Fascination,The Human League,1988,-8.011,major,1980
spotify:track:2Sf6ryueL9oJ1eDE2HfIvJ,2Sf6ryueL9oJ1eDE2HfIvJ,Heat Of The Moment,After 7,1989,-11.365,minor,1980
spotify:track:0iyFMU2QF4a2SmAeCwf3it,0iyFMU2QF4a2SmAeCwf3it,The Zoo,Scorpions,1980,-4.165,major,1980
spotify:track:2tEifcUedZAkWUnRB1O4E5,2tEifcUedZAkWUnRB1O4E5,Come Share My Love,Miki Howard,1986,-13.194,major,1980
spotify:track:7c1Dar0pIAW7w5TzaGjt9t,7c1Dar0pIAW7w5TzaGjt9t,Jane Says,Jane's Addiction,1988,-9.258,major,1980
spotify:track:3PAYDLeC1RxDIbzi9hZYne,3PAYDLeC1RxDIbzi9hZYne,Every Little Step,Bobby Brown,1988,-12.305,major,1980
spotify:track:1NFzONC2FpppkTTzX6eoHo,1NFzONC2FpppkTTzX6eoHo,Oye Mi Canto - Single Version,Gloria Estefan,1989,-6.617,major,1980
spotify:track:325ipyWkzIGakH2DJgDlOT,325ipyWkzIGakH2DJgDlOT,Happy When It Rains,The Jesus and Mary Chain,1987,-6.642,major,1980
spotify:track:0J6mQxEZnlRt9ymzFntA6z,0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,Bon Jovi,1986,-3.777,major,1980
spotify:track:5MPxgVGxq79wcoNKtlRaTf,5MPxgVGxq79wcoNKtlRaTf,You Are My Lady,Freddie Jackson,1985,-16.019,major,1980
spotify:track:41bdgBL7tjwQOl7RpwubKU,41bdgBL7tjwQOl7RpwubKU,Vagabonds,New Model Army,1989,-12.164,major,1980
spotify:track:6zM4fg3BvLOJNlQMsiDQEU,6zM4fg3BvLOJNlQMsiDQEU,Somebody,Escape With Romeo,1989,-10.765,major,1980
spotify:track:4PXH3g9qGgMqDlC52dJw07,4PXH3g9qGgMqDlC52dJw07,Blister In The Sun,Violent Femmes,1982,-8.557,major,1980
spotify:track:0hOA8SoraNo2ZP1amtVYnY,0hOA8SoraNo2ZP1amtVYnY,Big Love - 2017 Remaster,Fleetwood Mac,1987,-11.905,minor,1980
spotify:track:4gvea7UlDkAvsJBPZAd4oB,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley,1984,-13.741,major,1980
spotify:track:0mt80ksFAwPHXyAlArU5Yc,0mt80ksFAwPHXyAlArU5Yc,Two Occasions,The Deele,1987,-9.546,minor,1980
spotify:track:0yndiszlOMgxOu3y2vKZvB,0yndiszlOMgxOu3y2vKZvB,We Got Our Own Thang,Heavy D & The Boyz,1989,-12.762,major,1980
spotify:track:7t4JfA6DUGxywPmy9SXixz,7t4JfA6DUGxywPmy9SXixz,If I'm Not Your Lover,Al B. Sure!,1988,-13.889,major,1980
spotify:track:3r0Rhl5Zdo9YjACZNsaBvN,3r0Rhl5Zdo9YjACZNsaBvN,Nite and Day,Al B. Sure!,1988,-9.616,minor,1980
spotify:track:7cUXKXdigEIP8FgWbmckde,7cUXKXdigEIP8FgWbmckde,Dreaming of Me,Depeche Mode,1981,-5.323,minor,1980
spotify:track:5lwQGZYF4BXOzFtXc5zk8q,5lwQGZYF4BXOzFtXc5zk8q,"Head Over Heels - Dave Bascombe 7"" N.Mix",Tears For Fears,1985,-8.116,major,1980
spotify:track:2o49Twc3qrNMOt8gq9W06L,2o49Twc3qrNMOt8gq9W06L,Pictures Of You - Remastered,The Cure,1989,-6.454,major,1980
spotify:track:30tkVyBPF2ZGF2oBnaE6cE,30tkVyBPF2ZGF2oBnaE6cE,Love Will Never Do (Without You),Janet Jackson,1989,-9.624,major,1980
spotify:track:0U2TocFjqul3sis3sE5jZl,0U2TocFjqul3sis3sE5jZl,I Don't Believe In Love - Remastered 2003,Queensrÿche,1988,-2.654,major,1980
spotify:track:76HJoPhDFxD7rizsbCmZND,76HJoPhDFxD7rizsbCmZND,Suedehead - 2011 Remaster,Morrissey,1988,-4.5,major,1980
spotify:track:68YdZEkdaoXQTHRsxzS2Kq,68YdZEkdaoXQTHRsxzS2Kq,Express Yourself,N.W.A.,1988,-9.065,minor,1980
spotify:track:1Qrdlkgg9I4J7r3P4kZNwr,1Qrdlkgg9I4J7r3P4kZNwr,Missing You,John Waite,1984,-9.736,minor,1980
spotify:track:4rr67zXmEYf9ykLigeEsbv,4rr67zXmEYf9ykLigeEsbv,Don't Dream It's Over,Crowded House,1986,-17.227,major,1980
spotify:track:2mIrfke7vosXAEWfz6ucyo,2mIrfke7vosXAEWfz6ucyo,Lovesong - Remastered,The Cure,1989,-7.7,minor,1980
spotify:track:4o5XYTJecL5v938MN6YUPv,4o5XYTJecL5v938MN6YUPv,'Round And 'Round (Merry Go 'Round Of Love),Guy,1988,-14.264,minor,1980
spotify:track:3YXHTOLPqPlSfRqZCHtFol,3YXHTOLPqPlSfRqZCHtFol,Princes Of The Universe,Queen,1986,-14.327,major,1980
spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,2JS1iE5A5RHvUPH5Zl9jlF,Run to the Hills - 1998 Remastered Version,Iron Maiden,1982,-4.641,major,1980
spotify:track:7FIqkrMFzbORpWI8vjWp9L,7FIqkrMFzbORpWI8vjWp9L,Stick Around,Julian Lennon,1986,-10.724,major,1980
spotify:track:5IK2FtuC0qmHHam9sWFxUI,5IK2FtuC0qmHHam9sWFxUI,Who's Crying Now,Journey,1981,-9.732,minor,1980
spotify:track:3esyi2atuXIovqsU1H1LuZ,3esyi2atuXIovqsU1H1LuZ,I'm Not Soupped,Troop,1989,-12.335,minor,1980
spotify:track:46sVotiw129Lx9RButaL8e,46sVotiw129Lx9RButaL8e,Somebody - Remix,Depeche Mode,1984,-14.382,major,1980
spotify:track:4qxsM71CUQmCD5eRIJIqpy,4qxsM71CUQmCD5eRIJIqpy,Get Together,The Youngbloods,1988,-15.925,major,1980
spotify:track:1cOj24fUMnBSXhtp7waHVW,1cOj24fUMnBSXhtp7waHVW,That's What Friends Are For,Dionne Warwick,1989,-14.643,major,1980
spotify:track:5XcZRgJv3zMhTqCyESjQrF,5XcZRgJv3zMhTqCyESjQrF,Poison,Alice Cooper,1989,-5.509,minor,1980
spotify:track:2YKnKXUeGERi9yCLTO2C3t,2YKnKXUeGERi9yCLTO2C3t,I Need Love,LL Cool J,1987,-20.734,major,1980
spotify:track:39qYD4J4BKvZMQgxfXl5bv,39qYD4J4BKvZMQgxfXl5bv,Eye In The Sky,The Alan Parsons Project,1982,-12.643,major,1980
spotify:track:7KA66zSwthBv5X9bNQEeX1,7KA66zSwthBv5X9bNQEeX1,Heat Of The Moment,Asia,1982,-7.35,major,1980
spotify:track:28clONjZmul6FjfO6tZQDE,28clONjZmul6FjfO6tZQDE,Metal Health (Bang Your Head),Quiet Riot,1983,-5.977,major,1980
spotify:track:4bnNwCbIo9vxlIpu88KV0K,4bnNwCbIo9vxlIpu88KV0K,Der Mussolini - 1998 - Remaster,DAF,1981,-9.404,major,1980
spotify:track:6LFoyjCI9eFZw3QmN46x2V,6LFoyjCI9eFZw3QmN46x2V,Nobody's Fool,Cinderella,1986,-13.615,minor,1980
spotify:track:3bcYb4HwWlytUFLny0e0Q1,3bcYb4HwWlytUFLny0e0Q1,With Or Without You,U2,1987,-14.672,major,1980
spotify:track:5HiP7QX910Rql8nM89Mpl8,5HiP7QX910Rql8nM89Mpl8,Platonic Dancer,オメガトライブ,1985,-4.851,minor,1980
spotify:track:43btz2xjMKpcmjkuRsvxyg,43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,1982,-8.214,major,1980
spotify:track:4e9hUiLsN4mx61ARosFi7p,4e9hUiLsN4mx61ARosFi7p,The Spirit Of Radio,Rush,1980,-7.066,major,1980
spotify:track:0xpBr84T3FTm9j4D1MdPtk,0xpBr84T3FTm9j4D1MdPtk,Invisible Touch - 2007 Remaster,Genesis,1986,-5.987,major,1980
spotify:track:4r4VwcBtZWLgBn0ucRYlEz,4r4VwcBtZWLgBn0ucRYlEz,It Hurts (There Must Be a Taste of Murder in It),The Lotus Eaters,1984,-13.437,minor,1980
spotify:track:6AgDFWLbbAt2migXMbrhXT,6AgDFWLbbAt2migXMbrhXT,Ready Or Not,After 7,1989,-12.06,minor,1980
spotify:track:7v5rsCN3LhX9XaIlWyTdx3,7v5rsCN3LhX9XaIlWyTdx3,Steal Away - Remastered,Robbie Dupree,1980,-11.466,major,1980
spotify:track:1erQfISWXcYiSsTEYSaNUe,1erQfISWXcYiSsTEYSaNUe,"Da' Butt - From The ""School Daze"" Soundtrack",E.U.,1988,-12.787,minor,1980
